iteration,c0,m0,s0,mx0,mn0,c1,m1,s1,mx1,mn1,c2,m2,s2,mx2,mn2,c3,m3,s3,mx3,mn3
128,5,0.192311,0.0933234,0.349441,0.073431,5,0.145477,0.0706744,0.274094,0.0727011,3,0.155645,0.0700954,0.248675,0.0794803,7,0.199365,0.0620016,0.293497,0.129326
129,5,0.192178,0.0932753,0.349241,0.073315,5,0.16027,0.0610315,0.274281,0.103226,3,0.155582,0.0701146,0.248602,0.0793303,7,0.199386,0.0620209,0.293407,0.12926
130,5,0.192046,0.0932269,0.349041,0.0731993,5,0.160394,0.0610671,0.274467,0.1034,3,0.155519,0.0701337,0.248528,0.0791806,7,0.199407,0.0620405,0.293317,0.129194
131,5,0.191913,0.0931783,0.348841,0.0730841,5,0.160519,0.0611025,0.274654,0.103575,3,0.155457,0.0701522,0.248454,0.0790316,7,0.199428,0.0620603,0.293228,0.129129
132,5,0.191781,0.0931296,0.348641,0.0729691,5,0.145793,0.0710454,0.274841,0.0719989,3,0.155394,0.0701705,0.24838,0.0788831,7,0.199449,0.0620804,0.293138,0.129063
133,5,0.191649,0.0930806,0.348441,0.072855,5,0.145872,0.0711383,0.275027,0.0718233,3,0.155331,0.0701885,0.248305,0.078735,7,0.19947,0.0621009,0.29305,0.128998
134,5,0.191517,0.0930313,0.348241,0.0727417,5,0.160893,0.0612083,0.275213,0.104101,3,0.155269,0.0702062,0.248229,0.0785873,7,0.199491,0.0621218,0.292961,0.128933
135,5,0.191386,0.0929819,0.348041,0.072629,5,0.146031,0.0713244,0.2754,0.0714722,3,0.155206,0.0702239,0.248154,0.0784397,7,0.199512,0.0621428,0.292873,0.128868
136,5,0.191254,0.0929322,0.347842,0.072517,5,0.14611,0.0714175,0.275586,0.0712967,3,0.155144,0.0702415,0.248078,0.0782928,7,0.199534,0.0621644,0.292784,0.128803
137,5,0.191123,0.0928822,0.347642,0.0724059,5,0.14619,0.0715107,0.275772,0.0711211,3,0.155081,0.0702588,0.248002,0.0781465,7,0.199555,0.0621864,0.292697,0.128738
